date,headline,sentiment
2020-05-13,"Cornerstone Advisors, LLC Buys Apple Inc, SPDR S&P 5……, Intel Corp, Sells Cisco Systems ...",0
2020-05-12,"Nelson Roberts Investment Advisors, LLC Buys Apple Inc, GlaxoSmithKline PLC, DocuSign Inc, ...",0
2020-05-11,"Wisconsin Capital Management Llc Buys NVIDIA Corp, Apple Inc, Ansys Inc, Sells Intuitive ...",0
2020-04-26,Dow Jones Futures: Coronavirus Stock Market Rally Enters Earnings Chaos As Apple Leads 7 Stocks Near Buy Points,1
2020-04-24,"The Zacks Analyst Blog Highlights: Microsoft, Apple, Adobe, Nvidia and Salesforce",0
2020-04-23,"–776 Wealth Llc Buys First Trust Enhanced Short Maturity ETF, Adobe Inc, Apple Inc, Sells ...",0
2020-04-23,3 Blue-Chip Tech Stocks to Buy Right Now Not Named Apple or Microsoft,0
2020-04-20,"Oregon Public Employees Retirement Fund Buys NVIDIA Corp, Netflix Inc, Apple Inc, Sells Procter ...",0
2020-05-06,"Private Ocean, LLC Buys Apple Inc, SPDR Nuveen Bloomberg Barclays High Yield Municipa, Vanguard ...",0
2012-08-27,"Dow Slips in Thin Trade, Apple Lifts Nasdaq",0
2012-08-27,Apple Fuels Nasdaq Advance; Gasoline Rallies,0
2012-08-27,"Apple Boosts Nasdaq Futures; Oil, Gas Jump",1
2020-03-04,"Tech Daily: Conferences Cancelled, AMD Is A Buy, Waymo Raises Cash, Apple Concessions, More",1
2019-05-16,"Harvey Partners, LLC Buys Martin Marietta Materials Inc, Apple Inc, Analog Devices Inc, Sells ...",0
2019-01-04,Apple Selloff Offers A Broadcom Opportunity,1
2019-01-02,Dow Jones Futures Tumble As Apple Warns: Big Test For 2019 Stock Market Rally,-1
2018-11-13,Apple suppliers recover despite Qorvo guide cut,1
2018-11-12,"Apple suppliers drop on Lumentum guide, iPhone target cuts",-1
2018-09-10,"Apple Watch, AirPods to Hit by Trump's Proposed China Tariff",0
2018-06-08,"Tech sector under pressure from Apple suppliers, semi equipment stocks",-1
2017-12-12,"Apple Forging New Base, But iPhone Chip Plays Struggle: S&P 500 Futures",-1
2017-09-10,Five Hot Apple Chip Stocks To Watch Before The Big iPhone Reveal,0
2017-07-05,Futures: These 5 Apple iPhone Suppliers Are Still Ailing,-1
2017-05-25,Stocks Steady At Highs: These 3 Apple Chip Plays Are Near Buys,1
2017-04-11,"Stocks Pare Losses As Apple Suppliers Sink, But Homebuilders Rally",-1
2017-03-06,Apple Chip Deal?,0
2017-02-21,5 Stocks Likely To Benefit From Apple iPhone 8 Upgrade Supercycle,1
2017-02-16,"Alkeon Capital Management Llc Buys Exxon Mobil, PayPal Holdings, Northrop Grumman, Sells Apple, ...",0
2016-12-30,Report on Apple production cut ripples through tech sector,0
2016-12-23,"Apple, Broadcom, Nvidia Among RBC's Top Stock Picks For 2017",1
2016-12-05,"Apple Price Target Cut; Broadcom, ADI Still Buys",-1
2016-09-08,"Apple News Positive For Broadcom, Negative For Qualcomm",1
2016-08-30,Broadcom Seen Delivering $50 Million Q3 Win On Apple iPhone 7 Gains,1
2016-08-27,Broadcom Likely Gained 20% Apple iPhone 7 Content Despite 'Muted' Ramp,1
2016-08-26,These Three Chipmakers Will Survive Apple's Rumored 15%-20% iPhone 7 Order Cut,-1
2016-08-18,Analog Devices Expected To Add $100 Million-Plus In Apple iPhone 7 Sales,1
2016-08-16,Analog Devices Expected To Grow Apple iPhone 7 Content by 30%,1
2016-08-09,Apple Pressuring iPhone Component Suppliers For Price Cuts,-1
2016-07-29,"Apple, Facebook, Alphabet, Amazon, Ford, McDonald's Headlined Busy Week",0
2016-07-27,"Apple Chip Supplier NXP Earnings Fall, But Top Views",-1
2016-07-27,Analog Devices' Linear Deal Cuts Apple Exposure; Could Spur M&A Fever,1
2016-07-27,Apple Upgraded; Twitter A 'Loser'; Caterpillar Price Target Hiked,1
2016-07-26,Linear Rockets On Acquisition By Apple Supplier Analog Devices,0
2016-07-15,"Apple's iPhone 7, 'Less Bad' PC Sales Might Top Chips' Brexit Pain",-1
2016-07-13,Apple Supplier TSM Lingers In Buy Zone On Nixed Samsung Rivalry,0
2016-07-05,Stocks Sink To Session Lows; Will Brexit Take Bite Out Of Apple Sales?,-1
2016-07-05,"Apple iPhone 7 Shipments Could Disappoint; Skyworks, Cirrus Logic Dive",-1
2016-07-05,"Apple Chip Suppliers, Netflix Downgraded; Mobileye, CyberArk Buys",-1
2016-07-01,Intel's Apple iPhone 7 Win Could Buoy Qorvo To Skyworks' Detriment,1
2016-06-24,Analog Devices Gains 30% Content In Apple iPhone 7: Credit Suisse,1
2016-06-02,"Apple Supplier Broadcom Outplays iPhone Freeze, Rockets On Q2 Beat",1
2016-06-02,Applied Materials' OLED Push Could Wrangle 100 Million Apple iPhones,1
2016-05-28,Apple Chipmakers As iPhone Slows: Will Tesla CEO Musk Save Them?,-1
2016-05-19,Apple Supplier Broadcom: 'Multiple Ways To Win' On iPhone 7 Gains,1
2016-05-19,Apple iPhone 7 Ramp In July Will Stoke Q4 Sales: Analog Devices,-1
2016-05-18,Does Analog Devices' Soft Q3 Guidance Prove Apple's iPhone 7 Cut?,-1
2016-05-17,Apple iPhone 7 Ramp To Slug Analog Devices On Declining Q2 Sales,-1
2016-04-19,Apple Suppliers Downgraded On 'Modestly Lower' iPhone Demand,-1
2016-03-31,Will Apple Supplier Skyworks Kick Off 2016 Chip M&A With Maxim Buy?,0
2016-03-11,"Macom Leapfrogs Apple-Supplying Chip Rivals With Lasers, Radar",0
2016-02-22,"Apple Suppliers Cirrus Logic, Analog Devices Begin iPhone 7 Prep",0
2016-02-11,"Qorvo: With Less Apple, Life May Still Be Healthy",1
2016-02-03,Tesla Initiated At Sell; Apple Chipmakers Get Mixed Reviews,0
2016-02-01,"Through M&A, China Is After The Smartphone / Apple Supply Chain",0
2016-01-27,Apple suppliers slide following Apple's results/guidance,0
2016-01-19,Apple Supplier Skyworks Poised For Q1 'Relief Rally',1
2016-01-15,S&P 500 Takes Out August Low; Apple Hit By New iPhone Worries,-1
2016-01-11,Apple Upgraded To Buy; Under Armour Downgraded,1
2016-01-07,"Broadcom 'Story Played Out,' NXP To Lead Apple Sphere",1
2015-11-25,"Palo Alto Networks, Apple Chip Supplier ADI Upgraded",0
2015-10-30,"Chip Frenzy: Apple Supplier, Microsemi Trade Punches",0
2015-10-19,Microsemi Outbids Apple Supplier Skyworks For PMC,0
2015-10-17,Could Apple Stir Chip M&A Froth By Acquiring SanDisk?,0
2015-10-14,"Dow Gets Hit By Apple, Boeing, Wal-Mart; Netflix Sinks After Hours",0
2015-10-14,"Analog Devices +3.3%; BMO upgrades, talks up Apple design wins",1
2015-10-06,Synaptics unveils ClearForce tech in wake of Apple's 3D Touch launch,0
2015-09-21,"Atmel Soars As Dialog, An Apple Chipmaker, To Buy It",0
2015-09-14,"Stocks Fall In Quiet Trading; Chip Names, Apple, Buffer Nasdaq 100",0
2015-09-10,"Apple news is good for these stocks, but not those",1
2015-09-09,"Apple Chipmakers Slip; Who Wins In IPhone, IPad, TV?",0
2015-08-07,Report: Apple's next iPhone event set for week of September 7,0
2015-07-22,"ADI down 6.2% after Drexel Hamilton downgrade, Apple/Linear's numbers",-1
2015-05-22,"Yellen: Fed On Track To Raise Rates; Apple, Brocade Approach Buy Points",1
2015-05-15,Why This Apple Supplier is a Top Pick,1
2015-05-13,Apple Watch gross margins will start low but then rise,-1
2015-05-02,"BRCM, STM, ADI, IDTI, SNDK, MU land Apple Watch design wins",1
2015-05-01,9 chip stocks riding on Apple Watch,0
2015-03-30,Analog Devices Upgraded On Apple Design Win,1
2015-03-30,"Stocks Roll Out Healthy Start; JPMorgan, Apple, Gentherm Climb",1
2015-03-30,"ADI +8.1%; Barclays upgrades, reports of Apple Force Touch wins",1
2015-03-12,Small cap InvenSense Inc (INVN): A Good Bet on the Internet of Things and the Apple Watch? STM & ADI,1
2015-02-19,Apple's Dirty Little Rare Earth Secret,0
2014-09-24,Skyworks Solutions Big Winner In Apple iPhone 6 Chips,1
2013-09-18,Will Motion Sensor Maker InvenSense Get Apple Slice?,0
2013-08-19,"Technology Stock Roundup: Apple Jumps, Cisco Stumbles - Analyst Blog",-1
2015-01-05,Apple Powers Chip-Heavy IBD Top 10,0
2012-09-14,Has Apple Silenced Audience?,-1
2012-09-14,Has Apple Silenced Audience?,-1
2012-09-10,"Apple Throws Everything Into Question For Audience (AAPL, ADNC, QCOM, CRUS)",0
2012-09-07,Audience falls on loss of Apple,-1
2012-09-07,Audience Shares Collapse After Losing Apple Business,-1
2020-03-24,"Portfolio Review: Apple, MSC Industrial, PepsiCo, Mastercard",0
2019-07-31,Apple Drives Up Stock Futures Early As Markets Look Toward Fed Rate Vote,0
2018-05-02,"Stock Market Mixed as Apple Earnings, Fed Meeting In Focus; Shutterfly Gaps Up",-1
2018-01-05,"Dow 30 Stock Roundup: Apple Apologizes for iPhone Issue, Disney's The Last Jedi Crosses $1B Mark",0
2020-05-01,"Robertson Stephens Wealth Management, LLC Buys Adaptive Biotechnologies Corp, Apple Inc, ...",0
2017-02-15,Why Warren Buffet Quadrupled His Position In Apple,0
2015-09-14,"Stocks Quietly Lower As Apple Tops Dow, Tyler Tech Breaks Out",1
2015-02-05,Major hospitals evaluating Apple's HealthKit service,0
2020-02-11,"Optimus Prime Fund Management Co., Ltd. Buys Yelp Inc, ServiceNow Inc, Fortinet Inc, Sells Apple Inc",0
2019-11-06,"Capco Asset Management, LLC Buys Autodesk Inc, Camping World Holdings Inc, Ambev SA, Sells Apple Inc",0
2016-02-16,Stocks Extend Gains; China News Lifts Apple; ADT Soars On Buyout,1
2015-07-27,"Apple, Google Self-Serve Home Security Takes On ADT",0
2015-07-27,"Apple, Google Self-Serve Home Security Takes On ADT",0
2014-05-30,"Ahead of WWDC, Apple's Expected Connected-Home Salvo",0
2015-01-28,Nasdaq Recovers After Reversal; Apple Shines Brightly,1
2013-10-28,Stocks Inch Quietly Higher; Apple Gains Ahead Of Earnings,1
2016-05-13,Apple Challenges Uber For The Future Of Driving,-1
2019-06-02,"Apple's WWDC, DuPont's Return And Tariff Anxiety (Stocks To Watch Podcast)",0
2019-06-01,"Stocks To Watch: Apple's WWDC, DuPont's Return And Tariff Anxiety",0
2018-11-29,"Paul Tudor Jones Continues to Buy Apple, Alibaba",0
2018-11-01,Stocks Battle To Stay Up With Apple Earnings Due; This Hot IPO Stock Collapses,-1
2018-07-31,Can Apple Save Us From this Tech Wreck?,-1
2016-08-11,"Apple, CyberArk PTs Hiked; Kors PT Cut; Shake Shack Upgraded",0
2015-08-25,"Apple Spikes On Upgrade; BofA, JPMorgan Also Pop",0
2014-10-21,Office Depot One of the First to Accept Apple Pay - Analyst Blog,0
2014-03-21,"Apple, MCX: Mobile Wallet Friends, Foes Or Frenemies?",0
2013-09-17,"Stocks Climb In Mixed Trade; Microsoft, Apple Move Higher",1
2012-04-16,"Winmark is More Profitable than Apple with Insiders Buying (WINA, AAPL, JWN)",1
2012-03-02,"The Zacks Analyst Blog Highlights: Gap, American Eagle Outfitters, Nokia, Canon and Apple - Press Releases",0
2011-08-25,"Apple, Toll, Wells Fargo: New Targets, Estimates",0
2019-10-25,"Sage Rhino Capital Llc Buys ishares Gold Trust, Apple Inc, Barrick Gold Corp, Sells Aramark, ...",0
2018-11-29,"Paul Tudor Jones Continues to Buy Apple, Alibaba",0
2018-10-12,"Centene: This Fortune 500 Insurer Beats Apple, Amazon In Key Metric",1
2018-05-03,"Top Analyst Reports for Apple, ExxonMobil, Citigroup & Amgen",0
2018-01-05,"Stocks To Watch: Who Joins Apple, BofA On List Of New Buys By Top Funds?",0
2017-10-31,Stock Futures Edge Higher; Chip Giant Hit On Apple News,1
2017-08-14,Apple in Talks with Aetna to Bring Apple Watch to Millions of Customers,0
2017-08-14,Aetna meets with Apple to bring smartwatch to more consumers: report,0
2017-02-17,"Week In Review: Dow Keeps Rising As Apple Hits High, Verizon Unlimited, Kraft Eyes Unilever",0
2017-02-15,"Warren Buffett Reveals New Picks - Apple, Airlines, And Arb",0
2017-02-01,"Stocks Salvage Gains In Session Stirred By Apple, AMD, Facebook, Fed",1
2017-01-28,"Facebook, Apple, Amazon, Fed, Jobs Report: Investing Action Plan",0
2017-01-24,"Apple, Aetna, Humana Downgraded; Comcast PT Raised Ahead Of Q4",-1
2017-01-12,Wall Street Breakfast: Apple Sets Its Sights On Hollywood,0
2016-12-30,Top 10 Trends To Watch For 2017: From Trump To Apple's iPhone 8,0
2016-10-25,Wall Street Breakfast: Apple Earnings Take Center Stage,0
2016-09-29,Aetna subsidizing Apple Watch: Fitbit gets downgrade,-1
2016-09-29,"Fitbit Downgraded On Charge 2 Reception, Apple Watch Win",-1
2016-09-27,Aetna Will Subsidize Apple Watch In Health Care Win For Apple,0
2016-09-12,"Lee Ainslie Invests in Apple, American Airlines",0
2016-08-30,Apple Owes Ireland Billions - Good,1
2016-08-02,Apple-Backed Didi's Uber Deal,0
2016-05-13,"Week In Review: Apple, Macy's, Walt Disney Signal Consumer Slowdown",-1
2015-12-16,Apple Supplier Qualcomm PT Cut; Northrop Upgraded,1
2017-03-10,Apple Goes Hollywood,0
2016-03-22,Will Apple Get Imagination?,0
2016-02-03,Apple Is #2,0
2018-08-03,"The Zacks Analyst Blog Highlights: Apple, Procter & Gamble, Citigroup, Petrobras and Aflac",0
2018-08-02,"Top Research Reports for Apple, Procter & Gamble & Citigroup",0
2018-07-10,"Hexavest Inc. Buys Canadian Natural Resources, ConocoPhillips, Apple Inc, Sells iShares MSCI ...",0
2017-02-27,"Tesla Cut To Sell; Apple Gets Price-Target Hike, Buffett Boost",1
2015-08-27,Apple Supplier Avago Gets PT Cut; Amazon Sees Upgrade,1
2012-10-04,"This Fund Manager Beats the S&P, Shuns Apple and Loves a Certain Metric",0
2012-07-25,"Apple, Priceline.com Among Stocks Down on High Volume Wednesday",-1
2019-03-24,Apple Makes Its Video-Streaming Move (Stocks To Watch Podcast),0
2019-03-23,Stocks To Watch: Apple Makes Its Video-Streaming Move,0
2016-06-06,3-Way Apple V. Google V. Amazon Voice Assistant Battle Will Drive M&A,0
2018-06-02,"Stocks To Watch: Eyes On Apple's WWDC, SCOTUS And D.C.",0
2011-03-16,"Apple, BB&T: Analysts' New Ratings",0
2020-05-05,"Eudaimonia Partners, LLC Buys Apple Inc, Amazon. ...",0
2020-04-22,"Ingalls & Snyder Llc Buys Apple Inc, Berkshire Hathaway Inc, Abbott Laboratories, Sells ...",0
2020-02-14,"Fragasso Group Inc. Buys Apple Inc, Booking Holdings Inc, iShares Core U.S. ...",0
2020-02-10,"Evergreen Advisors, LLC Buys iShares Core U.S. Aggregate Bond ETF, Apple Inc, Schwab U.S. ...",0
2018-08-15,"Smith & Howard Wealth Management, LLC Buys iShares Core MSCI EAFE, Microsoft Corp, Apple ...",0
2017-02-01,"Stock ETFs Mixed; Financials, Techs Lead After Cheery Apple Report",-1
2016-09-16,QQQ ETF Bucks Stock Malaise As Apple And Intel Stomp To High Ground,-1
2016-07-20,This Tech ETF With Less In Apple And Alphabet Is Better Off For It,1
2016-07-05,Gold ETF Streaks Further Ahead; Chip ETFs Hit On Apple IPhone Report,1
2016-06-02,"Tech ETFs Slide Along With Apple, Broadcom; Oil Sinks On No Deal",0
2016-05-16,"Stock ETFs Pop Amid Buffett's Apple Buy; Gold ETF, Miners Trim Gains",1
2016-04-28,"Tech Funds Finish Mixed With Apple, Facebook In Motion",0
2016-04-26,Small-Cap Funds Pop Amid Anemic S&P 500 Results; Apple Falls After Hours,-1
2016-03-30,"S&P 500, Dow ETFs Hit 2016 Highs Led By Apple; Oil Gives Up Gains",1
2016-03-28,"S&P 500, Dow ETFs Grapple For Gains As Oil Continues To Weigh",-1
2016-03-01,"Momentum, Growth Funds Lead In Strong March Start; Apple At $100",1
2019-03-24,Apple Makes Its Video-Streaming Move (Stocks To Watch Podcast),0
2019-03-23,Stocks To Watch: Apple Makes Its Video-Streaming Move,0
2015-01-13,"Stocks Rumble Ahead Despite Oil; Alaska Air, Celgene, Apple Jump",0
2019-09-08,"Apple, IPOs And German Auto (Stocks To Watch Podcast)",0
2019-09-07,"Stocks To Watch: Apple, IPOs And German Auto",0
2019-10-11,"Resource Sector Digest: The Value Of Apples, Oranges, And Ounces In The Ground",0
2015-02-18,"Soros Dumps Apple, Buys China",0
2016-09-16,Week In Review: Apple iPhone Demand Lifts Markets; GM Takes On Tesla,1
2016-08-30,Apple Owes Ireland Billions - Good,1
2012-10-23,"Stocks Mixed In Early Trade; Apple, Priceline.com Rebound",0
2017-01-09,"Stock Indexes Mixed, But Apple Clears Entry",1
2016-11-17,"Stocks Up, Best Buy Soars, Planet Fitness Cools; Can Apple Break Out Again?",0
2020-01-22,"Goodwin Daniel L Buys Medifast Inc, CyrusOne Inc, Uber Technologies Inc, Sells Apple Inc, ...",0
2019-06-02,"Apple's WWDC, DuPont's Return And Tariff Anxiety (Stocks To Watch Podcast)",0
2019-06-01,"Stocks To Watch: Apple's WWDC, DuPont's Return And Tariff Anxiety",0
2018-10-09,How Do You Like Them Apples?,0
2020-02-27,"Wearable AI Market (New PDF) [Review: —…—…-—…—9] | Top Players – Apple Inc, ...",0
2010-03-30,"Apple, Verizon: Tuesday's Headlines",0
2018-09-13,"Chips, Internets Boost Nasdaq As Apple Continues Rise To $1.25 Trillion Market Cap",1
2019-11-04,Swapping Apple For Apple - October Dividend Portfolio Update,0
2019-10-30,What to Expect From Apple Hospitality's (APLE) Q3 Earnings?,0
2016-09-12,New Innovations At Apple Will Weigh Heavily On Its Supply Chain,-1
2015-09-25,"Apple, Microsoft Lead '15 Payout Hikes But Pace Slows",0
2017-01-13,"North Star Investment Management Corp. Buys Apple Inc, Microsoft Corp, iShares –-' Year ...",0
2020-04-03,Apple (AAPL) Card Users May Defer April Payments Amid Coronavirus,0
2019-09-30,Dow Jones Futures: Apple A Buy After Modest Stock Market Rally; Microsoft Leads 5 Software Stocks Near Buy Points,1
2019-08-13,"H—o Am Llp Buys Alphabet Inc, Apple Inc, Amgen Inc, Sells General Motors Co, Oracle Corp, ...",0
2019-07-30,"Dow Jones Futures: Apple, AMD Lead Key Earnings Movers; Stock Market Rally Awaits Fed Rate Cut",1
2019-04-30,"Dow Jones Futures: Apple, AMD Lead 5 Stocks Near Buy Points Moving On Earnings",1
2019-03-25,"Premarket Trading Mixed: Boeing, Apple Hoist Dow Jones",0
2018-04-28,"Stocks To Watch: Apple, FOMC And China On Tap",0
2017-04-18,"Hartwell J M Limited Partnership Buys Apple, UnitedHealth Group, Mesabi Trust, Sells Anadarko ...",0
2018-07-18,Akers Biosciences inks deal with Appleton Medical Services for heparin PF4 rapid test covering additional 12 states,0
2017-04-10,"Stocks Rally Amid Merger News; Cat, Chevron Lift Dow; Apple Halts Slide",1
2016-08-30,Apple Owes Ireland Billions - Good,1
2016-05-13,"Week In Review: Apple, Macy's, Walt Disney Signal Consumer Slowdown",-1
2015-12-30,Bold Bets For 2016 - From Apple To Icahn,0
2015-04-27,Stocks Fade; Apple Up Ahead Of Q2; Akorn Thrashed,1
2015-04-17,Global Worries Sink U.S. Stocks; Apple Breaches Support Level,-1
2015-04-15,"Stock Futures Grapple Higher; Biogen, Akorn Lead IBD 50 List",1
2014-10-21,"Stocks Post Solid Early Advance; Apple Lifts Nasdaq, S&P 500",1
2014-10-20,"Nasdaq Extends Gains; Apple, Chipotle Rise Pre-Earnings",1
2014-08-07,"Apple, Lithia Motors Test Key Support Areas",0
2017-02-13,Apple Rises On AR iPhone Hopes; Weibo And Momo Are Buys; Nucor Upgraded,1
2013-09-20,"Stock Futures Give Up Gains; Apple, Ulta Beauty Rising",1
2012-03-19,Stocks Edged Higher; Apple Closes Above $600,1
2012-01-19,'Fast Money' Recap: Apple Too Big?,1
2020-05-05,"Legacy Capital Partners, Inc. Buys Apple Inc, Colgate-Palmolive Co, Albemarle Corp, Sells ...",0
2019-11-04,Swapping Apple For Apple - October Dividend Portfolio Update,0
